ID,Degree,Closeness centrality,Clustering coefficient
116,6,0.2577464788732394,0
117,4,0.3065326633165829,0
118,3,0.2639423076923077,0
119,3,0.30247933884297523,0.3333333333333333
120,3,0.29109225874867445,0
121,7,0.25440222428174236,0.047619047619047616
122,4,0.2516040329972502,0
123,3,0.30894766460326395,0
124,6,0.29358288770053476,0
125,4,0.27124505928853754,0
126,6,0.30894766460326395,0.06666666666666667
127,5,0.31443298969072164,0
128,6,0.2967567567567568,0
129,2,0.2521819016995866,0
130,3,0.21889952153110048,0
131,3,0.3028130170987314,0
132,5,0.2663755458515284,0
133,4,0.28168291431503334,0
134,2,0.2505705157462346,0
135,6,0.30398671096345514,0
136,3,0.2980456026058632,0
137,3,0.2750501002004008,0
138,5,0.27071005917159763,0
139,4,0.30214639515685193,0
140,3,0.27896341463414637,0
141,5,0.3053392658509455,0.1
142,4,0.2740888666999501,0
143,5,0.2623029144768275,0
144,3,0.30016402405686166,0
145,4,0.29532006455083376,0
146,5,0.2697788697788698,0
147,5,0.2750501002004008,0
148,3,0.26457831325301207,0
149,2,0.26117982873453854,0
150,5,0.2697788697788698,0
151,3,0.2732702837232454,0
152,2,0.26205250596658713,0
153,2,0.25475638051044086,0
154,6,0.2596972563859981,0
155,4,0.305849582172702,0
156,10,0.3051695386325737,0
157,4,0.2704433497536946,0
158,3,0.24740874267688148,0
159,3,0.2786802030456853,0
160,3,0.24259832081307997,0
161,2,0.3065326633165829,0
162,5,0.26018957345971566,0
163,8,0.25594405594405595,0
164,4,0.2516040329972502,0
165,3,0.2633093525179856,0
166,5,0.25835294117647056,0
167,7,0.2791052364006101,0
168,2,0.28038815117466803,0
169,2,0.24541797049620026,0
170,3,0.2837209302325581,0
171,3,0.26267942583732057,0
172,2,0.2361290322580645,0
173,4,0.23653597587246877,0
174,2,0.24121265377855888,0
175,3,0.24142480211081793,0
176,2,0.30065717415115006,0
177,2,0.2791052364006101,0
178,2,0.2675438596491228,0
179,3,0.27587939698492464,0
180,3,0.24920562868815252,0
181,5,0.28683385579937304,0
